entry_time,exit_time,dir,entry_px,exit_px,tp1_hit,tp1_pct,exit_pct,total_pnl%,total_usd,equity,exit,bars,at_level,rsi_at_entry,vol_ratio,month
2025-12-09 07:00,2025-12-09 07:30,SHORT,90116.4,90395.91,False,0.0,-0.3652,-1.8258,-118.97,6397.07,SL,2,VWAP,42.7,1.0,2025-12
2025-12-12 06:00,2025-12-12 06:45,LONG,92716.62,92528.01,False,0.0,-0.2584,-1.2921,-82.66,6314.41,TIME,3,SwingH,57.2,1.0,2025-12
2025-12-17 09:15,2025-12-17 10:00,SHORT,86297.99,86545.06,False,0.0,-0.3413,-1.7065,-107.75,6206.65,SL,3,SwingL,41.3,1.0,2025-12
2025-12-24 09:45,2025-12-24 10:00,SHORT,86734.96,86892.02,False,0.0,-0.2361,-1.1804,-73.26,6133.39,SL,1,SwingL,41.4,1.0,2025-12
2025-12-30 11:45,2025-12-30 12:30,LONG,87791.99,87881.89,False,0.0,0.0474,0.237,14.54,6147.93,TIME,3,SwingL,53.3,1.0,2025-12
2026-01-02 13:15,2026-01-02 13:45,LONG,89479.99,89290.89,False,0.0,-0.2663,-1.3317,-81.87,6066.06,SL,2,RoundN,53.5,1.0,2026-01
2026-01-09 06:15,2026-01-09 07:00,SHORT,90866.29,90938.74,False,0.0,-0.1347,-0.6737,-40.86,6025.19,TIME,3,SwingL,46.2,1.0,2026-01
2026-01-09 11:15,2026-01-09 12:00,SHORT,90460.02,90323.53,False,0.0,0.0959,0.4794,28.89,6054.08,TIME,3,SwingH,44.0,1.0,2026-01
2026-01-12 12:30,2026-01-12 13:15,SHORT,90613.74,90565.99,False,0.0,-0.0023,-0.0115,-0.7,6053.38,TIME,3,SwingH,46.3,1.0,2026-01
2026-01-16 09:15,2026-01-16 10:00,LONG,95682.59,95538.91,False,0.0,-0.2052,-1.0258,-62.1,5991.28,SL,3,SwingH,52.5,1.0,2026-01
2026-01-19 07:15,2026-01-19 07:45,SHORT,92575.61,92726.58,False,0.0,-0.2181,-1.0904,-65.33,5925.95,SL,2,VWAP,41.7,1.0,2026-01
2026-01-29 11:30,2026-01-29 12:00,SHORT,87641.39,87853.2,False,0.0,-0.2967,-1.4834,-87.9,5838.05,SL,2,SwingL,44.0,1.0,2026-01
2026-02-12 08:15,2026-02-12 09:00,SHORT,66874.43,67129.62,False,0.0,-0.4366,-2.183,-127.44,5710.61,TIME,3,SwingL,47.6,1.0,2026-02
2026-02-15 16:45,2026-02-15 17:30,SHORT,68984.42,68792.0,False,0.0,0.2239,1.1197,63.94,5774.55,TIME,3,SwingH,48.4,1.0,2026-02
2026-02-17 08:00,2026-02-17 08:45,SHORT,68355.99,68132.73,False,0.0,0.2716,1.3581,78.42,5852.97,TIME,3,SwingH,48.5,1.0,2026-02
2026-02-23 06:15,2026-02-23 06:45,SHORT,65303.94,65532.15,False,0.0,-0.4045,-2.0223,-118.37,5734.6,SL,2,VWAP,64.6,1.0,2026-02
2026-03-08 06:00,2026-03-08 06:45,SHORT,67096.57,67162.04,False,0.0,-0.1526,-0.7629,-43.75,5690.85,TIME,3,VWAP,40.9,1.0,2026-03
2026-03-13 06:45,2026-03-13 07:30,LONG,71359.1,71585.92,False,0.0,0.2629,1.3143,74.79,5765.65,TIME,3,VWAP,59.1,1.0,2026-03
2026-03-15 07:45,2026-03-15 08:30,LONG,71464.07,71577.95,False,0.0,0.1044,0.5218,30.08,5795.73,TIME,3,SwingL,46.1,1.0,2026-03
2026-03-21 06:15,2026-03-21 07:00,LONG,70797.99,70723.95,False,0.0,-0.1596,-0.7979,-46.24,5749.49,TIME,3,SwingH,55.8,1.0,2026-03
2026-03-24 10:45,2026-03-24 11:30,LONG,71258.01,71228.15,False,0.0,-0.0969,-0.4845,-27.86,5721.63,TIME,3,SwingH,59.1,1.0,2026-03
2026-03-24 11:30,2026-03-24 12:15,LONG,71228.15,71069.89,False,0.0,-0.2772,-1.3859,-79.3,5642.33,TIME,3,SwingH,53.5,1.0,2026-03
2026-03-27 17:45,2026-03-27 18:00,SHORT,65573.28,65567.87,False,0.0,-0.0467,-0.2337,-13.19,5629.14,SESS,1,RoundN,47.3,1.0,2026-03
2026-03-30 10:30,2026-03-30 12:00,LONG,67369.2,67788.32,True,0.3183,0.5671,2.0801,118.21,5747.35,TP2,6,SwingL,51.9,1.0,2026-03
2026-04-04 11:45,2026-04-04 12:30,LONG,67147.92,67071.63,False,0.0,-0.1686,-0.8431,-48.46,5698.89,SL,3,SwingH,59.4,1.0,2026-04
2026-04-04 17:00,2026-04-04 17:45,LONG,67363.01,67324.02,False,0.0,-0.1129,-0.5644,-32.16,5666.73,TIME,3,SwingL,57.0,1.0,2026-04
