date,dir,entry,exit,pnl,reason,score,bars,win,month
2025-09-08,LONG,3636.53,3642.43,777.4529729644474,TIME,10.0,6,True,2025-09
2025-09-08,LONG,3640.31,3640.31,0.0,SESS,10.0,0,False,2025-09
2025-09-11,LONG,3627.08,3636.45,886.1763314573611,TIME,10.0,6,True,2025-09
2025-09-11,LONG,3632.71,3632.71,0.0,SESS,10.0,0,False,2025-09
2025-09-17,LONG,3694.2,3691.6705112544946,-527.3298467908407,SL,6.0,1,False,2025-09
2025-09-17,LONG,3693.55,3692.25,-285.6067623248007,SESS,6.0,1,False,2025-09
2025-09-18,SHORT,3648.97,3644.36,412.6975454127018,TIME,-2.0,6,True,2025-09
2025-09-18,SHORT,3645.75,3650.2839019945004,-515.3226748797949,SL,-2.0,4,False,2025-09
2025-09-23,LONG,3789.75,3785.061270705516,-499.86299463337986,SL,6.0,1,False,2025-09
2025-09-23,LONG,3785.14,3780.374384664276,-484.86710479436886,SL,6.0,1,False,2025-09
2025-09-26,LONG,3779.49,3784.68,522.8303155109076,SESS,2.0,3,True,2025-09
2025-09-29,LONG,3835.49,3839.84,387.70096706804475,TIME,6.0,6,True,2025-09
2025-09-29,LONG,3836.95,3840.51,426.9554893855448,SESS,6.0,2,True,2025-09
2025-09-30,LONG,3845.17,3845.62,29.374999904283385,TIME,10.0,6,True,2025-09
2025-09-30,LONG,3845.96,3845.46,-42.63114882621749,SESS,10.0,1,False,2025-09
2025-10-03,LONG,3879.68,3888.41,692.0618965292456,TIME,6.0,6,True,2025-10
2025-10-06,LONG,3960.16,3960.16,636.971840685235,SL,2.0,3,True,2025-10
2025-10-07,LONG,3984.18,3997.11,1182.0805443432805,TIME,2.0,6,True,2025-10
2025-10-08,LONG,4056.85,4076.474538756446,1583.2715412940615,TP2,2.0,6,True,2025-10
2025-10-13,LONG,4100.47,4112.17,1235.8424304400146,TIME,6.0,6,True,2025-10
2025-10-14,LONG,4143.37,4168.014352309883,1858.8538095694566,TP2,2.0,3,True,2025-10
2025-10-15,LONG,4218.79,4211.067578262068,-789.5236970118214,SL,6.0,4,False,2025-10
