date,dir,entry,exit,pnl,reason,score,bars,win,month,year
2025-11-21,LONG,4068.699951171875,4085.0,269.77502876130166,SESS,2.0,2,True,2025-11,2025
2025-11-25,LONG,4180.5,4180.5,0.0,SESS,10.0,0,False,2025-11,2025
2025-12-03,LONG,4247.7998046875,4223.156763363445,-291.397220523681,SL,6.0,2,False,2025-12,2025
2025-12-08,SHORT,4211.7998046875,4224.2001953125,-153.16256911595573,SESS,-6.0,2,False,2025-12,2025
2025-12-11,LONG,4285.2998046875,4309.0,484.6722440782047,SESS,6.0,2,True,2025-12,2025
2025-12-17,LONG,4373.39990234375,4373.39990234375,0.0,SESS,6.0,0,False,2025-12,2025
2025-12-22,LONG,4467.2001953125,4473.39990234375,175.7627518890035,SESS,2.0,2,True,2025-12,2025
2025-12-23,LONG,4485.7998046875,4499.89990234375,302.53004330687764,SESS,6.0,2,True,2025-12,2025
2025-12-26,LONG,4580.10009765625,4564.954306375116,-306.9493780127132,SL,2.0,1,False,2025-12,2025
2025-12-30,SHORT,4385.5,4385.5,0.0,SESS,-2.0,0,False,2025-12,2025
2025-12-31,SHORT,4350.89990234375,4335.7001953125,231.42866194450914,SESS,-2.0,2,True,2025-12,2025
2026-01-06,LONG,4498.7001953125,4499.89990234375,26.339632858652042,SESS,6.0,1,True,2026-01,2026
2026-01-14,LONG,4624.7998046875,4611.035937114203,-305.47394551642867,SL,6.0,2,False,2026-01,2026
2026-01-20,LONG,4758.0,4763.7001953125,101.07875933196128,SESS,2.0,1,True,2026-01,2026
2026-01-23,LONG,4961.89990234375,4966.89990234375,86.95054682475785,SESS,10.0,2,True,2026-01,2026
2026-01-27,LONG,5087.60009765625,5079.2001953125,-116.3946829506288,SESS,6.0,2,False,2026-01,2026
2026-02-05,SHORT,4838.60009765625,4883.894017220876,-298.4587658471175,SL,-2.0,1,False,2026-02,2026
2026-02-11,LONG,5084.2001953125,5116.5,311.0684684202214,SESS,10.0,2,True,2026-02,2026
2026-02-13,LONG,5030.0,5043.5,137.9551533293787,SESS,2.0,1,True,2026-02,2026
2026-02-27,LONG,5257.7998046875,5241.198692730924,-302.9757115241869,SL,6.0,1,False,2026-02,2026
2026-02-27,LONG,5252.39990234375,5252.39990234375,0.0,SESS,6.0,0,False,2026-02,2026
2026-03-26,SHORT,4434.0,4377.60009765625,596.1882175305143,SESS,-6.0,2,True,2026-03,2026
2026-04-08,LONG,4782.0,4755.7658455028,-322.3519985508044,SL,2.0,2,False,2026-04,2026
2026-04-14,LONG,4831.89990234375,4859.5,575.7784001995069,SESS,2.0,2,True,2026-04,2026
2026-04-23,SHORT,4737.2998046875,4752.772955228349,-341.2113223896544,SL,-6.0,1,False,2026-04,2026
2026-04-23,SHORT,4725.60009765625,4725.60009765625,0.0,SESS,-6.0,0,False,2026-04,2026
2026-05-01,LONG,4654.39990234375,4641.2998046875,-234.47012274404264,SESS,2.0,2,False,2026-05,2026
2026-05-11,LONG,4741.7998046875,4724.14500528612,-323.9408790356494,SL,6.0,1,False,2026-05,2026
2026-05-13,SHORT,4693.39990234375,4693.39990234375,0.0,SESS,-2.0,0,False,2026-05,2026
2026-05-14,SHORT,4684.7998046875,4684.2001953125,12.371470395724252,SESS,-6.0,1,True,2026-05,2026
2026-05-15,SHORT,4543.7998046875,4565.640809580373,-314.59379677645103,SL,-6.0,2,False,2026-05,2026
2026-05-18,SHORT,4551.39990234375,4551.39990234375,0.0,SESS,-10.0,0,False,2026-05,2026
