entry_time,exit_time,dir,trend,entry_px,exit_px,n_sigs,net_pnl%,pnl_usd,equity,exit,bars,month
2026-03-16 13:30,2026-03-16 14:15,LONG,UPTREND,5038.0,5027.08,2,-0.2327,-109.05,10045.75,SL,3,2026-03
2026-03-17 13:30,2026-03-17 13:45,LONG,UPTREND,5032.7,5024.93,2,-0.1703,-85.56,9960.19,SL,1,2026-03
2026-03-17 14:00,2026-03-17 14:15,LONG,UPTREND,5023.7,5015.54,2,-0.1785,-88.9,9871.29,SL,1,2026-03
2026-03-18 14:15,2026-03-18 16:15,SHORT,DOWNTREND,4863.8,4883.46,2,-0.4201,-102.62,9768.67,SL,8,2026-03
2026-03-19 13:30,2026-03-19 13:45,SHORT,DOWNTREND,4561.6,4590.36,2,-0.6464,-100.17,9668.5,SL,1,2026-03
2026-03-19 14:45,2026-03-19 19:00,SHORT,DOWNTREND,4603.5,4638.5,2,-0.7763,-98.72,9569.78,SL,17,2026-03
2026-03-20 13:30,2026-03-20 13:45,SHORT,DOWNTREND,4662.9,4633.25,2,0.6198,186.58,9756.36,TP,1,2026-03
2026-03-20 13:45,2026-03-20 14:15,SHORT,DOWNTREND,4617.0,4583.95,2,0.6999,190.77,9947.13,TP,2,2026-03
2026-03-20 14:15,2026-03-20 16:00,SHORT,DOWNTREND,4560.6,4578.87,2,-0.4167,-103.44,9843.69,SL,7,2026-03
2026-03-23 15:00,2026-03-23 15:45,SHORT,DOWNTREND,4466.5,4395.84,2,1.566,194.88,10038.57,TP,3,2026-03
2026-03-24 13:30,2026-03-24 13:45,SHORT,DOWNTREND,4356.7,4377.61,2,-0.496,-103.73,9934.84,SL,1,2026-03
2026-03-25 13:45,2026-03-25 14:15,SHORT,DOWNTREND,4543.3,4557.41,2,-0.3266,-104.47,9830.37,SL,2,2026-03
2026-03-25 15:00,2026-03-25 19:00,SHORT,DOWNTREND,4548.1,4516.96,3,0.6686,192.01,10022.38,TP,16,2026-03
2026-03-26 16:00,2026-03-26 16:15,SHORT,DOWNTREND,4436.0,4406.31,2,0.6533,195.66,10218.04,TP,1,2026-03
2026-03-26 16:15,2026-03-27 01:30,SHORT,DOWNTREND,4392.3,4409.26,2,-0.4021,-106.41,10111.62,SL,33,2026-03
