entry_time,exit_time,dir,trend,entry_px,exit_px,n_sigs,net_pnl%,pnl_usd,equity,exit,bars,month
2024-04-16 16:00,2024-04-16 17:00,LONG,UPTREND,2414.0,2406.34,2,-0.3333,-101.0,9514.45,SL,1,2024-04
2024-04-17 14:00,2024-04-17 15:00,LONG,UPTREND,2406.7,2401.49,2,-0.2324,-102.18,9412.27,SL,1,2024-04
2024-04-18 16:00,2024-04-18 18:00,LONG,UPTREND,2403.1,2397.99,2,-0.2287,-101.2,9311.07,SL,2,2024-04
2024-04-19 15:00,2024-04-21 22:00,LONG,UPTREND,2409.7,2401.59,2,-0.3524,-97.54,9213.53,SL,6,2024-04
2024-04-23 14:00,2024-04-26 07:00,LONG,UPTREND,2333.9,2354.1,2,0.8493,180.86,9394.39,TP,62,2024-04
2024-04-29 15:00,2024-04-30 02:00,LONG,UPTREND,2349.5,2344.15,2,-0.2436,-100.55,9293.84,SL,10,2024-04
2024-05-01 14:00,2024-05-01 17:00,LONG,UPTREND,2315.2,2310.9,2,-0.2016,-93.67,9200.17,SL,3,2024-05
2024-05-06 14:00,2024-05-07 09:00,LONG,UPTREND,2329.8,2323.8,2,-0.2735,-97.72,9102.45,SL,18,2024-05
2024-05-07 14:00,2024-05-08 01:00,LONG,UPTREND,2322.6,2318.31,2,-0.2005,-91.26,9011.19,SL,10,2024-05
2024-05-08 15:00,2024-05-08 17:00,LONG,UPTREND,2328.3,2323.43,2,-0.2252,-97.01,8914.18,SL,2,2024-05
2024-05-09 14:00,2024-05-09 20:00,LONG,UPTREND,2340.2,2350.86,2,0.4395,172.02,9086.21,TP,6,2024-05
2024-05-14 14:00,2024-05-14 15:00,LONG,UPTREND,2358.7,2354.11,2,-0.2106,-95.7,8990.51,SL,1,2024-05
2024-05-15 14:00,2024-05-15 17:00,LONG,UPTREND,2379.6,2393.28,2,0.559,174.81,9165.32,TP,3,2024-05
2024-05-17 14:00,2024-05-17 15:00,LONG,UPTREND,2417.8,2413.1,2,-0.2103,-96.38,9068.93,SL,1,2024-05
2024-05-17 15:00,2024-05-19 23:00,LONG,UPTREND,2412.3,2423.07,2,0.4304,174.88,9243.81,TP,7,2024-05
2024-05-20 15:00,2024-05-21 02:00,LONG,UPTREND,2429.0,2421.06,2,-0.3429,-96.96,9146.85,SL,10,2024-05
2024-05-21 14:00,2024-05-21 16:00,LONG,UPTREND,2433.6,2426.94,2,-0.2898,-96.81,9050.04,SL,2,2024-05
2024-05-28 14:00,2024-05-29 07:00,LONG,UPTREND,2356.2,2351.46,2,-0.2172,-97.7,8952.34,SL,16,2024-05
2024-05-29 15:00,2024-05-30 01:00,LONG,UPTREND,2339.0,2334.24,2,-0.2194,-96.57,8855.77,SL,9,2024-05
2024-05-30 14:00,2024-05-31 17:00,LONG,UPTREND,2365.5,2349.84,2,-0.678,-90.7,8765.07,SL,26,2024-05
2024-06-03 14:00,2024-06-04 08:00,LONG,UPTREND,2362.3,2357.25,2,-0.2298,-94.21,8670.87,SL,17,2024-06
2024-06-05 14:00,2024-06-06 01:00,LONG,UPTREND,2368.8,2378.67,2,0.4006,166.76,8837.62,TP,10,2024-06
2024-06-06 14:00,2024-06-06 20:00,LONG,UPTREND,2383.4,2394.62,2,0.4547,170.74,9008.37,TP,6,2024-06
2024-06-07 14:00,2024-06-07 19:00,SHORT,DOWNTREND,2331.6,2312.06,2,0.8222,176.73,9185.09,TP,5,2024-06
2024-06-10 14:00,2024-06-10 15:00,SHORT,DOWNTREND,2319.9,2324.22,3,-0.2021,-92.83,9092.27,SL,1,2024-06
2024-06-11 15:00,2024-06-11 19:00,SHORT,DOWNTREND,2327.2,2331.51,2,-0.2013,-91.52,9000.75,SL,4,2024-06
2024-06-12 14:00,2024-06-12 15:00,LONG,UPTREND,2342.2,2352.07,2,0.4053,173.18,9173.93,TP,1,2024-06
2024-06-12 16:00,2024-06-12 18:00,LONG,UPTREND,2354.8,2349.43,2,-0.2442,-98.17,9075.76,SL,2,2024-06
2024-06-13 15:00,2024-06-14 01:00,SHORT,DOWNTREND,2314.4,2320.99,2,-0.3007,-95.86,8979.9,SL,9,2024-06
2024-06-17 15:00,2024-06-17 16:00,SHORT,DOWNTREND,2327.1,2331.51,2,-0.2057,-92.35,8887.55,SL,1,2024-06
2024-06-17 16:00,2024-06-18 00:00,SHORT,DOWNTREND,2331.6,2336.0,2,-0.2049,-91.04,8796.51,SL,7,2024-06
2024-06-18 15:00,2024-06-20 04:00,LONG,UPTREND,2341.7,2351.3,2,0.394,169.06,8965.57,TP,12,2024-06
