entry_time,exit_time,session,dir,entry_px,exit_px,tp,sl,atr_at_entry,macro_bias,n_signals,raw_pnl%,net_pnl%,pnl_usd,equity,exit,bars,month
2026-04-21 08:00,2026-04-21 08:15,London,SHORT,4794.7,4803.25,4777.6,4803.25,11.4,SHORT,2,-0.1783,-0.1943,-0.02,10000.01,SL,1,2026-04
2026-04-21 09:15,2026-04-21 11:30,London,SHORT,4801.1,4809.6,4784.1,4809.6,11.34,SHORT,2,-0.1771,-0.1931,-0.02,9999.99,SL,9,2026-04
2026-04-21 14:15,2026-04-21 14:30,NY,SHORT,4792.6,4772.07,4772.07,4802.86,13.69,SHORT,2,0.4283,0.4123,0.04,10000.03,TP,1,2026-04
2026-04-21 14:30,2026-04-21 16:15,NY,SHORT,4762.8,4740.44,4740.44,4773.98,14.91,SHORT,2,0.4695,0.4535,0.04,10000.07,TP,7,2026-04
2026-04-21 16:15,2026-04-21 19:30,NY,SHORT,4739.9,4713.04,4713.04,4753.33,17.91,SHORT,2,0.5667,0.5507,0.04,10000.11,TP,13,2026-04
2026-04-22 09:45,2026-04-22 10:45,London,SHORT,4773.4,4777.54,4765.12,4777.54,5.52,SHORT,2,-0.0868,-0.1028,-0.02,10000.08,SL,4,2026-04
2026-04-22 11:30,2026-04-22 13:30,London,SHORT,4767.4,4772.36,4757.49,4772.36,6.61,SHORT,2,-0.1039,-0.1199,-0.02,10000.06,SL,8,2026-04
2026-04-22 14:00,2026-04-22 15:30,NY,SHORT,4765.1,4750.73,4750.73,4772.28,9.58,SHORT,2,0.3015,0.2855,0.04,10000.1,TP,6,2026-04
2026-04-22 15:30,2026-04-22 17:00,NY,SHORT,4745.6,4753.65,4729.5,4753.65,10.74,SHORT,2,-0.1697,-0.1857,-0.02,10000.08,SL,6,2026-04
2026-04-24 10:30,2026-04-24 11:00,London,SHORT,4694.8,4700.48,4683.43,4700.48,7.58,SHORT,2,-0.1211,-0.1371,-0.02,10000.05,SL,2,2026-04
2026-04-24 14:45,2026-04-24 20:00,NY,SHORT,4743.2,4724.05,4724.05,4752.77,12.76,SHORT,2,0.4037,0.3877,0.04,10000.09,TP,21,2026-04
