time,dir,level,entry,exit,t1hit,pnl,eq,xt,bars,mom4h,month
2025-06-30 15:00,SHORT,PrevLow,106844.5,106975.59,False,-66.28,9259.05,SL,1,-0.83,2025-06
2025-07-03 15:30,LONG,VWAP,109321.54,109316.08,False,-22.22,9236.83,TIME,5,-0.34,2025-07
2025-07-05 15:45,SHORT,VWAP,108103.3,107996.69,True,4.75,9241.58,TP2,3,-0.05,2025-07
2025-07-08 16:00,SHORT,VWAP,108170.86,108319.65,False,-71.18,9170.4,SL,1,-0.6,2025-07
2025-07-08 16:15,SHORT,VWAP,108462.7,108622.6,False,-74.25,9096.15,SL,3,-0.24,2025-07
2025-07-09 16:45,LONG,PrevHigh,109430.91,109268.96,False,-73.86,9022.29,SL,2,0.07,2025-07
2025-07-10 15:00,LONG,VWAP,111055.35,111442.96,True,66.93,9089.21,TP2,3,-0.08,2025-07
2025-07-11 16:00,SHORT,PrevHigh,116863.74,117101.29,False,-93.9,8995.31,SL,1,-1.18,2025-07
2025-07-17 17:00,LONG,VWAP,118969.6,118760.74,False,-82.96,8912.36,SL,1,0.92,2025-07
2025-07-19 15:45,LONG,VWAP,118114.79,118006.14,False,-52.4,8859.96,SL,1,-0.25,2025-07
2025-07-19 16:00,SHORT,VWAP,117940.04,118051.14,False,-52.88,8807.08,SL,1,-0.29,2025-07
2025-07-20 16:30,LONG,PrevHigh,118780.92,118653.45,False,-57.18,8749.9,SL,1,0.74,2025-07
2025-07-23 16:15,SHORT,VWAP,117927.0,117927.0,True,27.34,8777.24,SL,6,-0.58,2025-07
2025-07-27 15:45,LONG,PrevHigh,118620.01,118873.4,True,32.31,8809.56,TP2,2,0.41,2025-07
2025-07-30 16:30,SHORT,VWAP,117780.88,117803.34,False,-26.1,8783.46,TIME,5,0.18,2025-07
2025-07-31 16:30,LONG,VWAP,118604.07,118421.53,False,-73.4,8710.06,SL,2,0.19,2025-07
2025-08-07 17:00,LONG,PrevHigh,116421.2,116243.62,False,-72.31,8637.75,SL,4,0.14,2025-08
2025-08-09 15:45,SHORT,VWAP,116912.04,116690.42,True,26.07,8663.83,TP2,4,-0.19,2025-08
2025-08-24 16:00,SHORT,PrevLow,114472.52,114472.52,True,3.56,8667.39,SL,6,-0.25,2025-08
2025-08-25 15:00,LONG,VWAP,111998.03,112588.87,True,107.08,8774.47,TP2,5,0.8,2025-08
2025-08-25 16:15,LONG,VWAP,112628.24,112445.73,False,-76.18,8698.29,TIME,5,0.86,2025-08
2025-08-26 15:45,SHORT,VWAP,109657.06,109924.74,False,-104.07,8594.22,SL,4,-0.2,2025-08
2025-08-28 16:15,LONG,PrevHigh,113019.14,112815.51,False,-80.85,8513.38,SL,2,0.15,2025-08
2025-08-31 16:00,LONG,VWAP,108781.46,108690.79,False,-47.11,8466.26,SL,1,0.42,2025-08
2025-09-06 15:15,SHORT,VWAP,110768.62,110641.02,True,8.21,8474.48,TP2,2,0.07,2025-09
2025-09-07 16:00,LONG,PrevHigh,111248.2,111183.44,False,-38.38,8436.1,SL,4,0.08,2025-09
2025-09-12 15:15,SHORT,VWAP,115052.0,115205.57,False,-63.6,8372.5,SL,3,-0.08,2025-09
2025-09-12 16:30,LONG,VWAP,115400.03,115782.74,True,58.09,8430.59,TP2,3,0.3,2025-09
2025-09-13 15:30,SHORT,VWAP,115816.0,115636.16,True,17.48,8448.07,TP2,3,-0.21,2025-09
2025-09-16 16:00,LONG,VWAP,115790.02,116181.54,True,60.12,8508.2,TP2,4,0.35,2025-09
2025-09-19 15:00,SHORT,PrevLow,115560.0,115677.42,False,-53.3,8454.9,SL,1,-0.81,2025-09
2025-09-21 15:00,SHORT,VWAP,115614.3,115614.3,True,-8.96,8445.93,SL,2,-0.11,2025-09
2025-09-23 15:00,SHORT,VWAP,112996.69,112681.29,True,46.35,8492.29,TP2,6,0.2,2025-09
2025-09-23 16:45,SHORT,VWAP,112864.0,112465.46,True,63.96,8556.24,TP2,2,-0.12,2025-09
2025-09-24 16:30,LONG,PrevHigh,113712.87,113712.87,True,15.4,8571.64,SL,6,0.55,2025-09
2025-09-26 16:30,LONG,VWAP,109377.44,109853.3,True,83.96,8655.6,TP2,3,-0.17,2025-09
2025-09-28 15:30,LONG,PrevHigh,109966.92,110158.28,True,22.42,8678.02,TP2,2,0.56,2025-09
2025-10-09 15:45,SHORT,PrevLow,121213.41,120451.17,True,131.56,8809.58,TP2,5,-1.28,2025-10
2025-10-11 16:00,SHORT,VWAP,112163.98,111798.24,True,59.76,8869.35,TP2,2,-0.03,2025-10
2025-10-11 16:30,SHORT,VWAP,111638.06,111788.56,False,-67.34,8802.01,SL,1,-0.69,2025-10
2025-10-13 16:30,SHORT,VWAP,114481.31,114822.72,False,-124.36,8677.64,SL,5,-0.12,2025-10
2025-10-16 15:45,SHORT,PrevLow,108591.19,108591.19,True,61.53,8739.17,SL,4,-2.56,2025-10
2025-10-27 16:30,LONG,PrevHigh,115453.99,115453.99,True,22.19,8761.36,SL,7,0.32,2025-10
2025-10-28 15:00,LONG,VWAP,115340.28,115121.16,False,-85.85,8675.5,SL,1,0.72,2025-10
2025-11-02 15:30,LONG,VWAP,110260.03,110128.54,False,-60.47,8615.03,SL,1,-0.57,2025-11
2025-11-02 15:45,SHORT,VWAP,110095.99,110095.99,True,10.61,8625.64,SL,4,-0.95,2025-11
2025-11-03 15:15,SHORT,VWAP,105984.19,106239.68,False,-102.15,8523.49,SL,4,-1.53,2025-11
2025-11-09 15:30,LONG,PrevHigh,103814.25,103610.58,False,-85.64,8437.85,SL,2,1.62,2025-11
2025-11-09 16:30,LONG,PrevHigh,103478.08,104026.14,True,104.73,8542.58,TP2,9,1.33,2025-11
2025-11-11 15:30,SHORT,PrevLow,103508.35,103390.25,False,20.19,8562.77,TIME,5,-1.87,2025-11
2025-11-15 16:30,SHORT,VWAP,95979.56,96138.93,False,-75.71,8487.06,SL,5,0.37,2025-11
2025-11-18 15:15,LONG,PrevLow,92710.54,93458.58,True,170.6,8657.66,TP2,4,1.47,2025-11
2025-11-22 15:00,LONG,VWAP,84329.2,84168.9,False,-84.88,8572.78,SL,2,0.44,2025-11
2025-11-26 15:45,SHORT,VWAP,86945.14,87130.17,False,-91.84,8480.95,SL,1,-0.15,2025-11
2025-11-29 15:00,SHORT,VWAP,90789.24,90847.22,False,-40.32,8440.62,SL,1,0.18,2025-11
2025-11-29 15:15,LONG,VWAP,90909.31,90909.31,True,-0.55,8440.07,SL,7,0.37,2025-11
2025-12-03 16:45,LONG,PrevHigh,92258.04,93120.92,True,199.8,8639.86,TP2,5,-0.75,2025-12
2025-12-04 16:30,SHORT,VWAP,92563.99,91953.1,True,138.44,8778.3,TP2,10,-0.58,2025-12
2025-12-10 17:00,SHORT,VWAP,92236.87,92391.03,False,-78.0,8700.31,SL,2,0.21,2025-12
2025-12-11 15:00,SHORT,VWAP,90110.4,89692.79,True,92.05,8792.36,TP2,4,-0.28,2025-12
2025-12-20 15:00,LONG,VWAP,88164.01,88093.98,False,-47.28,8745.08,SL,1,0.08,2025-12
2025-12-22 16:00,LONG,VWAP,89785.27,89564.63,False,-105.2,8639.88,SL,2,-0.28,2025-12
2025-12-24 15:15,SHORT,PrevLow,86798.46,86942.16,False,-76.22,8563.65,SL,1,-0.44,2025-12
2025-12-25 15:00,LONG,VWAP,87720.77,87865.97,True,20.18,8583.83,TP2,2,0.33,2025-12
2025-12-28 16:30,SHORT,VWAP,87731.22,87782.78,False,-39.06,8544.77,SL,2,-0.01,2025-12
2025-12-29 15:00,SHORT,PrevLow,87614.0,87446.0,False,46.74,8591.51,TIME,5,-0.06,2025-12
2026-01-03 16:15,LONG,VWAP,90016.21,90068.03,False,0.88,8592.39,TIME,5,0.32,2026-01
2026-01-04 16:30,LONG,VWAP,91255.53,91255.53,True,1.78,8594.17,SL,6,0.21,2026-01
2026-01-06 16:15,SHORT,VWAP,92802.0,92299.78,True,109.42,8703.58,TP2,5,-1.1,2026-01
2026-01-08 16:30,LONG,PrevLow,90625.88,91150.75,True,119.96,8823.55,TP2,5,0.84,2026-01
2026-01-10 16:45,LONG,VWAP,90556.01,90556.01,True,-9.4,8814.14,SL,3,-0.07,2026-01
2026-01-11 16:00,LONG,PrevHigh,90773.13,90948.55,True,27.5,8841.65,TP2,2,0.12,2026-01
2026-01-12 15:45,LONG,VWAP,91579.72,92001.26,True,92.78,8934.42,TP2,3,1.2,2026-01
2026-01-14 15:15,LONG,PrevHigh,96800.01,96605.95,False,-91.3,8843.12,SL,1,1.95,2026-01
2026-01-16 15:15,LONG,PrevLow,94672.8,94522.0,False,-75.8,8767.32,SL,1,-0.67,2026-01
2026-01-16 15:30,SHORT,PrevLow,94476.74,94640.25,False,-79.98,8687.34,SL,2,-0.83,2026-01
2026-01-17 16:30,LONG,VWAP,95346.01,95279.54,False,-43.34,8644.01,SL,1,0.12,2026-01
2026-01-18 15:00,SHORT,PrevLow,94975.91,95038.32,False,-41.74,8602.27,SL,3,-0.13,2026-01
2026-01-18 15:45,SHORT,VWAP,95074.1,95103.99,False,-29.74,8572.53,TIME,5,-0.05,2026-01
2026-01-26 16:15,SHORT,VWAP,87608.36,87608.36,True,50.92,8623.45,SL,7,-0.19,2026-01
2026-02-10 17:00,LONG,VWAP,69368.82,69368.82,True,83.0,8706.45,SL,5,1.22,2026-02
2026-02-12 16:00,SHORT,PrevLow,66500.0,65858.07,True,213.38,8919.83,TP2,3,-2.2,2026-02
2026-02-13 16:00,LONG,PrevHigh,69005.52,68922.74,False,-62.43,8857.4,TIME,5,3.1,2026-02
2026-02-14 16:45,LONG,PrevHigh,69724.0,69730.02,False,-16.43,8840.98,TIME,5,0.18,2026-02
2026-02-16 15:00,SHORT,PrevLow,68300.6,67720.98,True,187.97,9028.95,TP2,3,-0.26,2026-02
2026-02-19 15:15,SHORT,PrevLow,66015.33,66192.62,False,-116.86,8912.1,SL,1,-1.18,2026-02
2026-02-24 17:00,LONG,PrevLow,64410.17,64213.9,False,-128.23,8783.86,SL,1,2.13,2026-02
2026-02-28 16:45,LONG,PrevLow,65094.62,65643.67,True,185.5,8969.36,TP2,7,1.67,2026-02
2026-03-07 15:45,SHORT,VWAP,67874.75,67838.23,False,-0.43,8968.93,TIME,5,-0.2,2026-03
2026-03-08 15:30,SHORT,VWAP,67156.59,66814.66,True,106.24,9075.17,TP2,12,-0.49,2026-03
2026-03-15 15:00,LONG,VWAP,71559.06,71464.21,False,-68.08,9007.09,SL,5,-0.22,2026-03
2026-03-15 16:15,LONG,VWAP,71420.3,71663.23,True,64.6,9071.69,TP2,6,-0.42,2026-03
2026-03-21 16:00,SHORT,VWAP,70549.18,70370.76,True,43.23,9114.91,TP2,2,-0.23,2026-03
2026-03-30 15:00,LONG,VWAP,67517.93,67517.93,True,39.3,9154.22,SL,4,-0.02,2026-03
2026-03-31 15:00,SHORT,VWAP,67178.82,66679.23,True,167.94,9322.16,TP2,3,1.01,2026-03
2026-04-01 15:00,LONG,PrevHigh,68465.8,68879.83,True,135.09,9457.25,TP2,3,-0.19,2026-04
2026-04-02 15:30,LONG,VWAP,66922.68,66922.68,True,49.28,9506.53,SL,9,0.92,2026-04
2026-04-04 16:30,LONG,PrevHigh,67510.0,67448.02,False,-55.83,9450.7,SL,1,0.68,2026-04
2026-04-07 17:00,SHORT,PrevLow,68295.27,68457.11,False,-110.37,9340.33,SL,2,-0.46,2026-04
2026-04-11 16:00,LONG,VWAP,72906.09,73072.64,True,38.21,9378.53,TP2,3,-0.07,2026-04
2026-04-21 17:00,SHORT,VWAP,75555.53,75737.51,False,-110.99,9267.55,SL,2,-0.6,2026-04
2026-04-23 15:00,LONG,VWAP,78146.01,78462.67,True,83.13,9350.68,TP2,2,0.94,2026-04
2026-04-24 15:00,LONG,VWAP,77751.11,77751.11,True,23.51,9374.19,SL,5,-0.62,2026-04
2026-04-25 16:00,SHORT,VWAP,77471.75,77351.81,True,19.32,9393.51,TP2,6,-0.31,2026-04
2026-04-27 15:00,SHORT,PrevLow,77369.23,77066.91,True,80.51,9474.02,TP2,2,-0.53,2026-04
2026-05-06 16:30,SHORT,VWAP,81680.43,81245.36,True,118.38,9592.4,TP2,26,-0.82,2026-05
2026-05-08 16:00,LONG,VWAP,79941.61,79781.67,False,-97.87,9494.53,SL,2,-0.4,2026-05
2026-05-09 15:30,LONG,PrevHigh,80475.0,80607.38,True,22.1,9516.64,TP2,3,0.16,2026-05
2026-05-09 16:15,LONG,PrevHigh,80650.0,80794.34,True,25.95,9542.59,TP2,4,0.3,2026-05
2026-05-13 15:15,SHORT,PrevLow,79239.0,78886.08,True,96.2,9638.78,TP2,3,-1.61,2026-05
2026-05-17 17:00,SHORT,VWAP,77887.99,77953.24,False,-53.51,9585.28,SL,1,-0.44,2026-05
2026-05-20 16:30,SHORT,PrevHigh,77251.96,77409.49,False,-99.27,9486.01,SL,3,-0.26,2026-05
