Date,gold,macro_score,macro_raw,fwd_1,fwd_5
2024-04-03,2294.39990234375,10.0,3,-0.24406615036484114,1.534178731290159
2024-04-04,2288.800048828125,10.0,3,1.6121942308871873,2.883607068856553
2024-04-05,2325.699951171875,-3.333333333333333,-1,0.25798684808746586,1.311433144444596
2024-04-08,2331.699951171875,3.333333333333333,1,0.5060706383852809,1.462456506855081
2024-04-09,2343.5,3.333333333333333,1,-0.593125766748448,2.018350707408789
2024-04-10,2329.60009765625,-3.333333333333333,-1,1.0817286278974603,1.8071708340835269
2024-04-11,2354.800048828125,-3.333333333333333,-1,0.0594488837575291,1.167827392125531
2024-04-12,2356.199951171875,3.333333333333333,1,0.40743985464710697,1.791017402868822
2024-04-15,2365.800048828125,-3.333333333333333,-1,1.0567249760766284,-1.4202424956789361
2024-04-16,2390.800048828125,-3.333333333333333,-1,-0.7988998354593546,-2.639287952465086
2024-04-17,2371.699951171875,10.0,3,0.4469409231556698,-1.9901316415912196
2024-04-18,2382.300048828125,-3.333333333333333,-1,0.6758113245871167,-2.203752630816813
2024-04-19,2398.39990234375,3.333333333333333,1,-2.7601715254901182,-2.6517618456152525
2024-04-22,2332.199951171875,3.333333333333333,1,-0.19295086588689836,0.5659871129506833
2024-04-23,2327.699951171875,10.0,3,-0.13747266567858407,-1.5594814447562166
2024-04-24,2324.5,-3.333333333333333,-1,0.22800812338674703,-1.058296307001505
2024-04-25,2329.800048828125,3.333333333333333,1,0.2146106916992796,-1.3134216248146147
2024-04-26,2334.800048828125,3.333333333333333,1,0.4539940591891556,-1.5333239711937452
2024-04-29,2345.39990234375,10.0,3,-2.302379220960915,-1.0147439958412607
2024-04-30,2291.39990234375,-3.333333333333333,-1,0.37095227207202264,1.0386684927315093
2024-05-01,2299.89990234375,10.0,3,-0.030433984155642246,0.5956865904702457
2024-05-02,2299.199951171875,10.0,3,-0.008696554285025915,1.430938899751033
2024-05-03,2299.0,10.0,3,0.9830403504240914,2.970859018187255
2024-05-06,2321.60009765625,3.333333333333333,1,-0.2756782484130804,0.6245692363055166
2024-05-07,2315.199951171875,3.333333333333333,1,-0.06910217473075075,1.6499633715238993
2024-05-08,2313.60009765625,-3.333333333333333,-1,0.7996196066356154,3.246017044678706
2024-05-09,2332.10009765625,10.0,3,1.509367081080737,2.0539385248467434
2024-05-10,2367.300048828125,-3.333333333333333,-1,-1.3179550765995973,1.8966713731948248
2024-05-13,2336.10009765625,10.0,3,0.7405420985537647,4.186456084892076
2024-05-14,2353.39990234375,10.0,3,1.4999596453186603,2.902186269324858
2024-05-15,2388.699951171875,10.0,3,-0.36421280821004043,0.020931888065511828
2024-05-16,2380.0,-3.333333333333333,-1,1.3529391248686906,-1.8907563025210128
2024-05-17,2412.199951171875,3.333333333333333,1,0.8995917258572517,-3.3040358504756506
2024-05-20,2433.89990234375,-3.333333333333333,-1,-0.5012511467758718,-3.233491693561019
2024-05-21,2421.699951171875,3.333333333333333,1,-1.3420324835978548,-3.3612711725232614
2024-05-22,2389.199951171875,-3.333333333333333,-1,-2.2685397739645285,-1.9378892421881844
2024-05-23,2335.0,-3.333333333333333,-1,-0.10706638115631772,-0.518205467077093
2024-05-24,2332.5,10.0,3,0.9732026225884205,0.6045057944801702
2024-05-28,2355.199951171875,3.333333333333333,1,-0.6326385297492965,-1.2610373551127707
2024-05-29,2340.300048828125,-3.333333333333333,-1,0.11109060639156176,0.5896700653847953
2024-05-30,2342.89990234375,10.0,3,-0.8536429567474357,1.1694971030117296
2024-05-31,2322.89990234375,10.0,3,1.0202848296901212,-0.7619764912821347
2024-06-03,2346.60009765625,10.0,3,-0.8991773961538829,-1.6577237222152985
2024-06-04,2325.5,10.0,3,1.2298472438722952,-0.7740270909481817
2024-06-05,2354.10009765625,3.333333333333333,1,0.6881589779467623,-0.768875447321482
2024-06-06,2370.300048828125,10.0,3,-2.7464918497738466,-2.957435607821357
2024-06-07,2305.199951171875,-10.0,-3,0.10845046212710763,1.1365587249191123
2024-06-10,2307.699951171875,-10.0,-3,-0.008664522082846293,0.20366387621095772
2024-06-11,2307.5,-3.333333333333333,-1,1.2351029252437806,0.992411802546056
2024-06-12,2336.0,10.0,3,-1.5325363368204226,0.7619883916149428
