date,dir,entry,exit,pnl,reason,score,bars,session,win,month
2024-09-25,LONG,2663.40991,2660.4881281034754,-472.80735926423336,SL,10.0,3,NY,False,2024-09
2024-09-25,LONG,2660.38989,2657.021818480906,-458.6231384862848,SL,10.0,1,NY,False,2024-09
2024-10-02,LONG,2656.22998,2652.5843437148123,-444.86444433166264,SL,6.0,1,NY,False,2024-10
2024-10-25,LONG,2737.15991,2734.1182292243866,-431.5185110017497,SL,6.0,2,NY,False,2024-10
2024-11-13,SHORT,2605.46997,2591.2128543446283,1060.3848210349347,TP2,-10.0,3,NY,True,2024-11
2024-12-04,LONG,2650.6001,2651.13989,75.44863233675295,SESS,6.0,0,NY,True,2024-12
2024-12-18,SHORT,2638.8501,2635.68994,819.8935488057986,SESS,-6.0,2,NY,True,2024-12
2024-12-19,SHORT,2599.30005,2587.088262453886,1250.3015670860786,TP2,-10.0,6,NY,True,2024-12
2024-12-19,SHORT,2593.97998,2591.6001,368.70753088302985,SESS,-10.0,0,NY,True,2024-12
2024-12-24,SHORT,2614.3501,2615.9513338787,-542.1103652099052,SL,-6.0,1,NY,False,2024-12
2024-12-24,SHORT,2613.8501,2615.752073545572,-525.84705425357,SL,-6.0,1,NY,False,2024-12
2025-01-15,LONG,2688.69995,2685.1809771555268,-510.0716426260106,SL,10.0,2,NY,False,2025-01
2025-01-16,LONG,2715.71997,2721.72998,882.1978402374536,SESS,6.0,4,NY,True,2025-01
2025-01-22,LONG,2754.1001,2751.2080857750548,-521.2354285543811,SL,10.0,2,NY,False,2025-01
2025-01-24,LONG,2778.62988,2778.62988,606.7180388372499,SL,6.0,5,NY,True,2025-01
2025-01-31,LONG,2809.17993,2806.387020415922,-542.0014480279647,SL,10.0,2,NY,False,2025-01
2025-02-04,LONG,2832.87988,2843.847798652985,1331.87822495399,TP2,6.0,4,NY,True,2025-02
2025-02-04,LONG,2835.8999,2842.12988,864.8275207762032,SESS,6.0,4,NY,True,2025-02
2025-02-05,LONG,2868.83008,2864.562234443604,-591.6425769590202,SL,10.0,1,NY,False,2025-02
2025-02-21,LONG,2930.37988,2930.37988,688.6719595803115,SL,10.0,2,NY,True,2025-02
2025-02-28,SHORT,2850.040039,2848.55005,181.43190424227805,SESS,-6.0,3,NY,True,2025-02
2025-03-17,LONG,2994.47998,2997.33008,627.2094705980741,SESS,6.0,0,NY,True,2025-03
2025-03-18,LONG,3029.17993,3031.82007,388.3209372975959,TIME,10.0,6,NY,True,2025-03
2025-03-20,LONG,3034.96997,3037.21997,462.56271784018503,SESS,6.0,0,NY,True,2025-03
2025-03-31,LONG,3115.6499,3119.36011,475.95224989830865,SESS,6.0,4,NY,True,2025-03
2025-07-29,SHORT,3324.75,3327.757718582443,-679.2779356213146,SL,-10.0,1,NY,False,2025-07
2025-08-06,LONG,3375.99,3375.86,-34.41069946423225,SESS,6.0,4,NY,False,2025-08
2025-08-07,LONG,3382.81,3382.01,-187.96285996752584,SESS,6.0,5,NY,False,2025-08
2025-08-15,SHORT,3332.43,3335.081976150732,-652.2283907697482,SL,-6.0,2,NY,False,2025-08
2025-08-15,SHORT,3334.84,3328.96,1436.6504418049963,SESS,-6.0,5,NY,True,2025-08
2025-08-21,LONG,3335.51,3333.5,-575.0556636226921,SESS,6.0,2,NY,False,2025-08
2025-08-25,LONG,3360.29,3363.14,1533.8530317158454,SESS,10.0,4,NY,True,2025-08
2025-09-04,LONG,3553.02,3548.513959194846,-727.3007887493178,SL,6.0,1,NY,False,2025-09
2025-09-04,LONG,3553.42,3559.78,1212.7129141854025,SESS,6.0,5,NY,True,2025-09
2025-09-11,LONG,3627.08,3636.45,1406.7162455080693,TIME,10.0,6,NY,True,2025-09
2025-09-17,LONG,3694.2,3691.6705112544946,-837.0833612787018,SL,6.0,1,NY,False,2025-09
