date,dir,entry,exit,pnl,reason,score,bars,bear_period
2024-12-06,SHORT,2634.65991,2639.3118788482598,-409.2840760542103,SL,-2.0,3,False
2024-12-10,LONG,2685.92993,2693.48999,1040.1618176039042,SESS,2.0,4,False
2024-12-13,SHORT,2663.43994,2660.69995,669.9602705996733,TIME,-2.0,6,False
2024-12-13,SHORT,2660.1001,2663.4587869553907,-463.72479111752284,SL,-2.0,1,False
2024-12-18,SHORT,2638.8501,2635.68994,814.7585958661693,SESS,-6.0,2,False
2024-12-19,SHORT,2599.30005,2587.088262453886,1242.4709899133677,TP2,-10.0,6,False
2024-12-19,SHORT,2593.97998,2591.6001,366.3983337655152,SESS,-10.0,0,False
2024-12-23,SHORT,2616.030029,2614.56006,284.7873506897584,SESS,-2.0,0,False
2024-12-24,SHORT,2614.3501,2615.9513338787,-547.2587751968739,SL,-6.0,1,False
2024-12-24,SHORT,2613.8501,2615.752073545572,-530.8410119409291,SL,-6.0,1,False
2025-01-08,LONG,2661.8999,2666.47998,784.583324703127,TIME,2.0,6,False
2025-01-09,LONG,2672.71997,2670.0203490710865,-538.4532813237871,SL,2.0,1,False
2025-01-09,LONG,2673.26001,2670.1926681335167,-522.2996828841315,SL,2.0,3,False
2025-01-14,SHORT,2663.19995,2666.4431157584086,-506.63069239762433,SL,-2.0,2,False
2025-01-15,LONG,2688.69995,2685.1809771555268,-491.4317716256764,SL,10.0,2,False
2025-01-16,LONG,2715.71997,2721.72998,849.9591259773542,SESS,6.0,4,False
2025-01-22,LONG,2754.1001,2751.2080857750548,-502.18759225625297,SL,10.0,2,False
2025-01-24,LONG,2778.62988,2778.62988,584.5463573862305,SL,6.0,5,False
2025-01-30,LONG,2783.90991,2783.90991,626.6336951180692,SL,2.0,2,False
2025-01-31,LONG,2809.17993,2806.387020415922,-559.7927676388056,SL,10.0,2,False
2025-02-04,LONG,2832.87988,2843.847798652985,1375.597427677694,TP2,6.0,4,False
2025-02-04,LONG,2835.8999,2842.12988,893.2156789377043,SESS,6.0,4,False
2025-02-05,LONG,2868.83008,2864.562234443604,-611.0633778080914,SL,10.0,1,False
2025-02-07,LONG,2871.5,2866.5878559690204,-592.7314764738292,SL,2.0,1,False
2025-02-12,LONG,2889.01001,2897.44995,889.5468589868452,TIME,2.0,6,False
2025-02-21,LONG,2930.37988,2930.37988,721.9631255390999,SL,10.0,2,False
2025-02-28,SHORT,2850.040039,2848.55005,190.20252362110338,SESS,-6.0,3,False
2025-03-07,LONG,2915.87988,2911.13989,-540.2139263065941,SESS,2.0,3,False
2025-03-11,LONG,2915.45996,2919.41992,698.4079057246875,SESS,2.0,5,False
2025-03-17,LONG,2994.47998,2997.33008,662.3253974799312,SESS,6.0,0,False
2025-03-18,LONG,3029.17993,3031.82007,410.0620784634552,TIME,10.0,6,False
2025-03-20,LONG,3034.96997,3037.21997,488.4604750319894,SESS,6.0,0,False
2025-03-31,LONG,3115.6499,3119.36011,502.5996542985442,SESS,6.0,4,False
2025-04-02,LONG,3124.12988,3127.5,547.3647895721624,TIME,2.0,6,False
2025-04-02,LONG,3125.76001,3129.58008,1189.174172622906,SESS,2.0,3,False
2025-05-02,SHORT,3251.81,3258.7995034280534,-795.8194973238582,SL,-6.0,2,False
2025-05-06,LONG,3386.24,3403.96,1845.0870796891568,TIME,2.0,6,False
2025-05-08,LONG,3360.34,3354.1304485001956,-855.0875416414124,SL,2.0,1,False
2025-05-08,LONG,3358.04,3351.6100894738584,-829.4349153921622,SL,2.0,1,False
2025-05-13,SHORT,3232.22,3238.4098323359226,-804.5518679303651,SL,-6.0,1,False
2025-05-14,SHORT,3185.53,3186.41,-106.61787435736643,SESS,-2.0,5,False
2025-05-21,LONG,3305.72,3311.01,895.0791566054979,SESS,6.0,0,False
2025-05-29,LONG,3314.5,3326.05,1650.7023916994065,TIME,2.0,6,False
2025-07-01,LONG,3349.12012,3343.6289135451443,-882.536711523825,SL,6.0,2,False
2025-07-21,LONG,3396.09,3395.5,-139.92209012883689,TIME,2.0,6,False
2025-07-25,SHORT,3340.42,3340.42,1022.2355369691076,SL,-2.0,2,False
2025-07-25,SHORT,3340.99,3333.31006,1530.8440997865812,SESS,-2.0,2,False
2025-07-29,SHORT,3324.75,3327.757718582443,-991.9974975548827,SL,-10.0,1,False
2025-08-04,LONG,3378.61,3375.637463631262,-962.2375726283192,SL,6.0,3,False
